ID_Proveedor,Nombre,Contacto,Telefono,Direccion
PRV001,Coca Cola FEMSA,Juan Pérez,4491234567,"Av. Aguascalientes 100, Aguascalientes, Ags."
PRV002,Grupo Bimbo,María López,4492345678,"Calle Panaderos 200, Aguascalientes, Ags."
PRV003,PepsiCo,Carlos Ramírez,4493456789,"Blvd. Zacatecas 300, Aguascalientes, Ags."
PRV004,Nestlé México,Ana Torres,4494567890,"Calle Leche 400, Aguascalientes, Ags."
PRV005,La Costeña,Luis Martínez,4495678901,"Av. Conservas 500, Aguascalientes, Ags."
PRV006,Gamesa,Patricia Gómez,4496789012,"Calle Galletas 600, Aguascalientes, Ags."
PRV007,Lala,Jorge Sánchez,4497890123,"Av. Lácteos 700, Aguascalientes, Ags."
PRV008,Barcel,Gabriela Ruiz,4498901234,"Calle Botanas 800, Aguascalientes, Ags."
PRV009,Sabritas,Ricardo Díaz,4499012345,"Blvd. Papas 900, Aguascalientes, Ags."
PRV010,Sigma Alimentos,Verónica Herrera,4490123456,"Av. Carnes 1000, Aguascalientes, Ags."
PRV011,SuKarne,Daniel Ortega,4491122334,"Calle Ganaderos 1100, Aguascalientes, Ags."
PRV012,Mission Foods,Carolina Jiménez,4492233445,"Av. Tortillas 1200, Aguascalientes, Ags."
PRV013,Leche San Marcos,Alberto Torres,4493344556,"Blvd. Lechería 1300, Aguascalientes, Ags."
PRV014,Alpura,Sandra García,4494455667,"Calle Vaca 1400, Aguascalientes, Ags."
PRV015,Chilchota,Raúl Martínez,4495566778,"Av. Quesos 1500, Aguascalientes, Ags."
PRV016,Danone México,Lorena Ramírez,4496677889,"Blvd. Yogurt 1600, Aguascalientes, Ags."
PRV017,Herdez,Fernando López,4497788990,"Calle Salsas 1700, Aguascalientes, Ags."
PRV018,Unilever México,Cecilia Flores,4498899001,"Av. Productos 1800, Aguascalientes, Ags."
PRV019,Kimberly-Clark,Enrique Vargas,4499900112,"Calle Higiene 1900, Aguascalientes, Ags."
PRV020,Bachoco,María del Rosario,4491011122,"Blvd. Pollos 2000, Aguascalientes, Ags."
